"Policy","Type","TargetType","Id","DisplayName"
"SMS","Include","Group","07365a25-f6b3-4bf0-8771-5057eeea19dd","Employee AP"
"SMS","Include","Group","1da6d644-e49b-4436-8103-c7891a16f3b1","Military Incomplete"
"SMS","Include","Group","0f14675f-cf84-4c54-ab6a-e0ef615ae9ff","Retiree"
"SMS","Include","Group","abf14461-75e4-4d91-a28f-b2885ba636ce","Employee Instructor"
"SMS","Include","Group","1c32957e-4da7-46ec-824d-fcf8adaa2e8f","Enrolled"
"SMS","Include","Group","184c77a9-879d-489e-9cdc-0480a0f64999","Employee VOL"
"SMS","Include","Group","4c68e1d4-b0f5-4d22-966c-fd02dc955e38","Incomplete"
"SMS","Include","Group","647534d5-c83d-4192-bfa6-71932795f612","MFA Azure"
"SMS","Include","Group","2bdd80d7-e2a6-4707-bb01-e4cb669ec7a2","AzMFA Staging"
"SMS","Include","Group","190461db-fcc5-4852-8539-396794e539fe","Alumni"
"SMS","Include","Group","f36d99e3-b61f-4df2-8ab1-09662f1a9520","Employee FA"
"SMS","Include","Group","96ecc3f0-4a92-4016-8c32-3e652d51106a","Employee CS"
"SMS","Include","Group","eb1fc4fe-3bab-48f4-a02f-3cf5a4659300","Employee RTA"
"SMS","Include","Group","ab240bbe-1ddc-4455-8d86-3c6cd8d7aae8","SIUE External Users"
"Voice","Include","Group","456f414d-b6ba-467f-b8c7-40f39a34656a","MFA Azure Phone"
